LS — UWB Realtime
  Anchors : ['0x1001', '0x1002', '0x1003', '0x1004']
  Height  : 1400.0 mm

Đang kết nối /dev/serial/by-id/usb-SEGGER_J-Link_000760192143-if00 @ 921600...
OK. Đang chờ dữ liệu... (Ctrl+C để dừng)

[ROBOT] Đã kết nối STM32 @ /dev/serial/by-id/usb-STMicroelectronics_BLUEPILL_F103C8_CDC_in_FS_Mode_498E169E3634-if00. Điều khiển xe bắt đầu.
 Time(s)   Frame      X(mm)      Y(mm)
   6.887     449     6375.7      655.4
   6.904     450     6470.9      594.5
   6.920     451     6462.7      647.3
   6.938     452     6508.4      742.5
   6.956     453     6475.6      657.5
   6.972     454     6527.4      663.0
   6.992     455     6510.3      636.6
   7.010     456     6543.0      633.6
   7.026     457     6531.3      602.7
   7.047     458     6537.7      618.8
   7.065     459     6494.9      675.9
   7.084     460     6460.7      656.2
   7.102     461     6517.0      716.3
   7.118     462     6498.6      720.0
   7.137     463     6481.6      708.1
   7.155     464     6540.8      551.0
   7.170     465     6521.7      492.5
   7.190     466     6564.8      550.0
   7.210     467     6585.5      595.9
   7.228     468     6609.8      643.3
   7.252     469     6609.8      643.3
   7.272     470     6612.6      639.6
   7.290     471     6788.4      877.9
   7.309     472     6546.2      514.5
   7.328     473     6559.5      546.4
   7.344     474     6518.0      513.4
   7.360     475     6507.8      713.9
   7.382     476     6522.0      694.9
   7.399     477     6495.0      590.1
   7.416     478     6373.4      790.2
   7.437     479     6384.7      775.1
   7.454     480     6427.1      688.9
   7.473     481     6435.2      718.4
   7.495     482     6435.2      718.4
   7.516     483     6450.7      739.0
   7.532     484     6878.8     1345.3
   7.551     485     6852.0     1315.0
   7.568     486     6516.7      742.2
   7.586     487     6476.8      681.3
   7.604     488     6507.8      689.3
   7.623     489     6491.8      686.1
   7.643     490     6448.9      651.7
   7.660     491     6453.1      712.5
   7.678     492     6447.7      690.2
   7.694     493     6402.1      770.5
   7.711     494     6453.0      745.7
   7.730     495     6421.2      688.5
   7.745     496     6437.9      706.8
   7.763     497     6466.4      752.4
   7.781     498     6380.6      850.0
   7.798     499     6337.4      822.5
   7.818     500     6340.2      810.8
   7.836     501     6332.3      778.1
   7.854     502     6369.9      850.5
   7.871     503     6315.7      770.9
   7.890     504     6349.8      801.4
   7.908     505     6378.9      878.0
   7.927     506     6379.4      844.5
   7.948     507     6364.1      824.0
   7.968     508     6362.0      821.1
   7.987     509     6332.3      778.1
   8.005     510     6334.2      780.6
   8.022     511     6382.4      834.0
   8.043     512     6555.5     1065.1
   8.060     513     6314.1      768.7
   8.078     514     6347.3      790.6
   8.096     515     6334.7      777.7
   8.114     516     6307.2      748.0
   8.132     517     6392.6      851.1
   8.152     518     6393.1      866.7
   8.170     519     6349.0      811.3
   8.189     520     6857.7     1490.3
   8.209     521     6868.6     1475.7
   8.227     522     6360.3      822.9
   8.244     523     6464.4      657.2
   8.262     524     6466.6      645.5
   8.283     525     6448.0      620.7
   8.300     526     6472.5      664.4
   8.319     527     6477.8      667.5
   8.336     528     6462.7      636.4
   8.354     529     6474.4      641.3
   8.372     530     6464.6      631.6
   8.393     531     6453.4      646.5
   8.413     532     6473.3      661.5
   8.431     533     6448.4      632.2
   8.452     534     6451.2      628.5
   8.472     535     6452.2      640.9
   8.490     536     6434.4      617.0
   8.508     537     6311.2      806.2
