Standard EKF — UWB Realtime
  Q=0.01 mm²   R=50.0 mm²
  Anchors : ['0x1001', '0x1002', '0x1003', '0x1004']
  Height  : 1400.0 mm

Đang kết nối /dev/serial/by-id/usb-SEGGER_J-Link_000760192143-if00 @ 921600...
OK. Đang chờ dữ liệu... (Ctrl+C để dừng)

[ROBOT] Đã kết nối STM32 @ /dev/serial/by-id/usb-STMicroelectronics_BLUEPILL_F103C8_CDC_in_FS_Mode_498E169E3634-if00. Điều khiển xe bắt đầu.
 Time(s)   Frame      X(mm)      Y(mm)
----------------------------------------
[EKF] init  x=63.0  y=4257.5
   8.973     583     1455.6     4227.7
   8.990     584     1460.0     4232.2
   9.009     585     1464.8     4236.9
   9.025     586     1469.1     4239.9
   9.042     587     1473.4     4243.4
   9.059     588     1476.3     4246.4
   9.076     589     1479.9     4249.1
   9.093     590     1483.2     4252.7
   9.109     591     1486.3     4255.7
   9.126     592     1489.9     4258.7
   9.143     593     1493.2     4261.6
   9.160     594     1496.1     4263.3
   9.177     595     1499.4     4265.1
   9.194     596     1502.8     4267.1
   9.211     597     1505.9     4268.7
   9.228     598     1508.7     4269.8
   9.244     599     1511.4     4270.5
   9.261     600     1512.8     4269.9
   9.278     601     1515.4     4270.4
   9.295     602     1517.7     4269.0
   9.312     603     1520.1     4267.7
   9.329     604     1522.2     4266.9
   9.346     605     1524.2     4265.5
   9.363     606     1527.2     4266.9
   9.379     607     1529.6     4267.0
   9.396     608     1533.3     4267.9
   9.412     609     1535.8     4268.3
   9.430     610     1538.5     4268.5
   9.447     611     1542.7     4273.2
   9.466     612     1547.2     4278.0
   9.481     613     1551.1     4282.5
   9.499     614     1555.6     4287.1
   9.515     615     1558.4     4286.8
   9.532     616     1561.0     4286.8
   9.550     617     1563.0     4286.9
   9.567     618     1566.1     4287.0
   9.584     619     1569.6     4291.2
   9.601     620     1573.9     4294.8
   9.617     621     1577.3     4299.8
   9.634     622     1581.2     4303.6
   9.650     623     1584.7     4304.7
   9.667     624     1587.8     4303.1
   9.684     625     1589.7     4301.4
   9.701     626     1591.8     4300.6
   9.718     627     1593.3     4299.6
   9.735     628     1594.9     4298.3
   9.752     629     1597.2     4298.0
   9.769     630     1599.0     4296.4
   9.785     631     1602.1     4296.6
   9.802     632     1603.9     4294.7
   9.819     633     1604.9     4294.4
   9.836     634     1606.7     4293.6
   9.855     635     1608.8     4293.3
   9.872     636     1611.3     4293.5
   9.890     637     1612.9     4293.3
   9.908     638     1614.6     4293.1
   9.924     639     1617.0     4293.1
   9.941     640     1619.8     4293.5
   9.958     641     1621.9     4294.2
   9.975     642     1623.9     4295.0
   9.992     643     1626.7     4295.6
  10.009     644     1629.3     4296.2
  10.026     645     1632.4     4296.7
  10.043     646     1634.9     4297.3
  10.058     647     1637.3     4297.9
  10.076     648     1639.8     4299.3
  10.092     649     1642.8     4300.1
  10.111     650     1645.3     4301.9
  10.127     651     1649.0     4303.3
  10.144     652     1651.4     4304.3
  10.162     653     1654.7     4305.6
  10.178     654     1657.6     4307.3
  10.196     655     1660.1     4308.5
  10.212     656     1662.2     4310.9
  10.229     657     1664.6     4313.4
  10.246     658     1666.8     4315.5
  10.263     659     1669.6     4318.0
  10.280     660     1672.1     4319.7
  10.297     661     1675.0     4322.0
  10.313     662     1678.2     4324.0
  10.332     663     1681.2     4326.1
  10.348     664     1683.8     4329.0
  10.365     665     1686.2     4331.7
  10.382     666     1688.6     4333.6
  10.399     667     1691.7     4335.2
  10.416     668     1696.1     4336.3
  10.434     669     1700.0     4336.7
  10.450     670     1704.7     4337.6
  10.467     671     1709.1     4337.5
  10.484     672     1713.2     4337.8
  10.501     673     1717.4     4337.4
  10.519     674     1721.5     4336.4
  10.536     675     1719.8     4343.6
  10.553     676     1724.0     4343.6
  10.569     677     1727.5     4343.4
  10.586     678     1731.7     4343.2
  10.603     679     1735.0     4343.3
  10.620     680     1738.6     4343.0
  10.637     681     1742.2     4342.8
  10.653     682     1746.0     4342.9
  10.671     683     1749.5     4342.9
  10.688     684     1753.1     4342.7
  10.705     685     1756.3     4342.0
  10.721     686     1759.7     4342.6
  10.738     687     1762.2     4341.6
  10.755     688     1765.1     4341.3
  10.774     689     1768.2     4340.3
  10.790     690     1771.3     4340.8
  10.807     691     1774.4     4340.2
  10.824     692     1777.1     4340.3
  10.840     693     1780.1     4340.4
  10.857     694     1782.2     4340.2
  10.876     695     1784.8     4339.7
  10.892     696     1787.3     4338.9
  10.909     697     1789.2     4337.8
  10.926     698     1791.8     4337.5
  10.943     699     1794.0     4336.4
  10.960     700     1796.8     4335.6
  10.976     701     1799.7     4334.7
  10.992     702     1801.9     4333.9
  11.011     703     1804.5     4332.8
  11.027     704     1807.4     4333.0
  11.044     705     1809.7     4333.6
  11.061     706     1812.6     4333.2
  11.078     707     1815.2     4332.7
  11.095     708     1817.7     4332.1
  11.112     709     1820.2     4332.2
  11.128     710     1823.1     4332.6
  11.145     711     1826.1     4333.1
  11.164     712     1828.7     4333.0
  11.180     713     1831.7     4331.7
  11.197     714     1834.7     4331.6
  11.214     715     1838.7     4332.8
  11.231     716     1843.0     4332.1
  11.248     717     1846.2     4332.1
  11.266     718     1849.3     4332.5
  11.284     719     1852.3     4332.5
  11.302     720     1855.9     4333.2
  11.318     721     1859.7     4334.3
  11.335     722     1862.9     4334.7
  11.352     723     1867.1     4334.3
  11.368     724     1870.9     4335.1
  11.385     725     1875.7     4336.0
  11.402     726     1879.0     4337.1
  11.421     727     1882.9     4338.2
  11.437     728     1887.4     4339.2
  11.454     729     1891.7     4339.5
  11.471     730     1894.7     4339.6
  11.489     731     1898.5     4340.6
  11.505     732     1902.1     4341.3
  11.524     733     1906.1     4341.6
  11.542     734     1910.4     4341.2
  11.558     735     1914.6     4341.1
  11.575     736     1918.2     4341.2
  11.592     737     1921.6     4341.0
  11.608     738     1925.5     4341.1
  11.625     739     1928.2     4341.5
  11.642     740     1932.2     4341.6
  11.659     741     1935.3     4342.3
  11.676     742     1938.5     4341.3
  11.695     743     1942.1     4341.3
  11.710     744     1944.8     4341.7
  11.727     745     1948.0     4341.4
  11.745     746     1951.6     4341.3
  11.761     747     1955.3     4340.8
  11.780     748     1959.3     4340.7
  11.796     749     1962.3     4341.0
  11.813     750     1965.9     4340.8
  11.829     751     1969.4     4341.0
  11.845     752     1972.9     4340.8
  11.862     753     1975.4     4340.6
  11.879     754     1979.2     4339.9
  11.895     755     1983.5     4339.8
  11.912     756     1986.2     4339.6
  11.929     757     1989.2     4339.6
  11.946     758     1991.8     4340.1
  11.963     759     1994.9     4339.6
  11.980     760     1997.2     4339.8
  11.997     761     2000.8     4339.3
  12.014     762     2004.3     4339.1
  12.033     763     2007.1     4338.6
  12.049     764     2010.2     4338.2
  12.066     765     2013.3     4338.5
  12.083     766     2017.1     4338.5
  12.103     767     2020.7     4338.4
  12.120     768     2024.8     4337.8
  12.137     769     2028.9     4337.1
  12.153     770     2032.3     4336.2
  12.170     771     2036.0     4335.9
  12.189     772     2039.8     4334.9
  12.205     773     2043.0     4334.6
  12.222     774     2046.3     4334.2
  12.239     775     2050.0     4335.0
  12.255     776     2053.0     4334.1
