KF — UWB Realtime
  Q=0.01 mm²   R=50.0 mm²
  Anchors : ['0x1001', '0x1002', '0x1003', '0x1004']
  Height  : 1400.0 mm

Đang kết nối /dev/serial/by-id/usb-SEGGER_J-Link_000760192143-if00 @ 921600...
OK. Đang chờ dữ liệu... (Ctrl+C để dừng)

[ROBOT] Đã kết nối STM32 @ /dev/serial/by-id/usb-STMicroelectronics_BLUEPILL_F103C8_CDC_in_FS_Mode_498E169E3634-if00. Điều khiển xe bắt đầu.
 Time(s)   Frame      X(mm)      Y(mm)
----------------------------------------
[KF] init  x=126.1  y=4294.5
   6.285     426     1015.1     4201.1
   6.304     427     1019.1     4201.5
   6.320     428     1023.1     4202.0
   6.337     429     1026.0     4202.2
   6.354     430     1029.4     4203.3
   6.371     431     1033.3     4205.8
   6.388     432     1037.3     4209.2
   6.404     433     1041.4     4212.6
   6.421     434     1045.2     4218.3
   6.438     435     1049.5     4222.7
   6.455     436     1053.9     4227.9
   6.472     437     1058.7     4233.2
   6.489     438     1062.9     4236.5
   6.506     439     1067.0     4240.1
   6.524     440     1071.8     4243.1
   6.540     441     1074.8     4245.9
   6.557     442     1077.7     4249.4
   6.574     443     1081.0     4251.8
   6.591     444     1084.4     4254.9
   6.608     445     1088.0     4256.0
   6.625     446     1091.3     4257.6
   6.641     447     1095.1     4258.8
   6.658     448     1099.6     4259.5
   6.674     449     1103.4     4260.4
   6.691     450     1106.9     4260.9
   6.708     451     1110.4     4260.9
   6.725     452     1114.0     4260.3
   6.742     453     1118.4     4261.1
   6.759     454     1124.6     4267.7
   6.776     455     1130.7     4273.5
   6.793     456     1135.4     4278.9
   6.809     457     1141.0     4284.1
   6.826     458     1146.7     4288.4
   6.843     459     1151.2     4293.3
   6.860     460     1156.5     4297.0
   6.877     461     1160.9     4301.2
   6.894     462     1165.7     4305.0
   6.911     463     1171.0     4308.9
   6.928     464     1174.9     4312.1
   6.944     465     1179.5     4315.1
   6.961     466     1183.5     4317.7
   6.978     467     1188.5     4320.6
   6.995     468     1192.5     4323.4
   7.012     469     1197.1     4326.5
   7.029     470     1201.2     4328.4
   7.046     471     1205.0     4329.3
   7.063     472     1208.6     4329.9
   7.080     473     1212.5     4330.2
   7.096     474     1215.7     4330.5
   7.113     475     1220.0     4331.1
   7.130     476     1223.3     4331.3
   7.147     477     1226.1     4331.5
   7.164     478     1229.4     4331.4
   7.181     479     1232.9     4330.9
   7.198     480     1236.7     4332.3
   7.215     481     1240.6     4333.4
   7.231     482     1244.3     4336.8
   7.248     483     1248.1     4339.8
   7.265     484     1252.8     4342.6
   7.282     485     1258.2     4345.7
   7.299     486     1263.7     4348.7
   7.316     487     1270.0     4351.3
   7.333     488     1274.1     4354.2
   7.350     489     1279.6     4357.7
   7.366     490     1284.9     4359.8
   7.383     491     1289.5     4359.9
   7.399     492     1292.8     4360.3
   7.416     493     1295.8     4356.9
   7.433     494     1298.2     4353.9
   7.450     495     1301.3     4350.3
   7.467     496     1303.4     4346.1
   7.484     497     1304.5     4341.5
   7.501     498     1307.0     4337.5
   7.517     499     1309.0     4333.2
   7.534     500     1310.3     4329.2
   7.551     501     1311.8     4324.4
   7.568     502     1313.7     4320.0
   7.585     503     1314.7     4315.8
   7.602     504     1316.1     4312.1
   7.619     505     1318.2     4308.1
   7.636     506     1319.4     4303.8
   7.652     507     1322.1     4300.7
   7.669     508     1324.2     4298.0
   7.686     509     1327.0     4295.4
   7.703     510     1329.5     4294.2
   7.722     511     1331.7     4293.0
   7.739     512     1334.6     4291.9
   7.756     513     1337.1     4293.4
   7.772     514     1340.5     4294.0
