KF — UWB Realtime
  Q=0.01 mm²   R=300.0 mm²
  Anchors : ['0x1001', '0x1002', '0x1003', '0x1004']
  Height  : 1400.0 mm

Đang kết nối /dev/serial/by-id/usb-SEGGER_J-Link_000760192143-if00 @ 921600...
OK. Đang chờ dữ liệu... (Ctrl+C để dừng)

 Time(s)   Frame      X(mm)      Y(mm)
----------------------------------------
[KF] init  x=6568.4  y=985.2
   7.378     436     6573.7      928.5
   7.397     437     6573.7      928.5
   7.413     438     6573.4      928.5
   7.430     439     6573.5      928.4
   7.447     440     6573.5      928.6
   7.464     441     6573.4      928.5
   7.480     442     6573.6      928.7
   7.497     443     6573.4      928.7
   7.513     444     6573.6      928.8
   7.530     445     6573.6      929.0
   7.547     446     6573.6      928.9
   7.565     447     6573.4      929.0
   7.582     448     6573.4      928.7
   7.599     449     6573.8      928.7
   7.617     450     6573.4      928.5
   7.632     451     6573.2      928.4
   7.648     452     6573.2      928.4
   7.665     453     6573.6      928.5
   7.682     454     6573.6      928.5
   7.699     455     6573.5      928.8
   7.716     456     6573.3      928.7
   7.733     457     6573.2      929.1
   7.750     458     6572.8      929.7
   7.765     459     6572.9      930.3
   7.782     460     6572.8      930.6
   7.799     461     6572.9      931.0
   7.816     462     6573.1      930.9
   7.835     463     6573.3      930.9
   7.851     464     6573.1      930.8
   7.869     465     6573.3      931.1
   7.886     466     6573.7      931.0
   7.902     467     6573.7      931.3
   7.919     468     6573.7      931.1
   7.936     469     6573.8      930.9
   7.953     470     6573.7      930.6
   7.970     471     6574.0      930.7
   7.985     472     6574.3      930.9
   8.002     473     6574.3      931.1
   8.019     474     6574.3      931.2
   8.036     475     6574.7      930.8
   8.052     476     6574.7      930.9
   8.069     477     6574.7      930.8
   8.086     478     6574.7      931.0
   8.103     479     6574.6      930.7
   8.119     480     6574.6      931.2
   8.136     481     6574.6      931.3
   8.153     482     6574.6      931.3
   8.171     483     6574.5      931.2
   8.188     484     6574.4      931.3
   8.204     485     6574.2      931.1
   8.221     486     6574.4      931.4
   8.238     487     6574.5      931.3
   8.255     488     6574.8      931.0
   8.274     489     6575.3      931.0
   8.289     490     6575.2      931.0
   8.307     491     6575.0      931.0
   8.323     492     6575.3      930.9
   8.339     493     6575.4      930.9
   8.356     494     6575.2      930.7
   8.375     495     6575.1      930.5
   8.391     496     6574.8      930.8
   8.410     497     6574.5      931.0
   8.426     498     6574.7      931.1
   8.443     499     6574.6      930.9
   8.460     500     6575.1      930.7
